recipe_id,meal_id,recipe_name,description,instructions,prep_time,cook_time,servings,difficulty,category,diet_type,goal_tag,image_file,is_featured,rating,calories,protein,carbs,fat,fiber,tags,created_at
43,76,"Restaurant-Quality Pan-Seared Steak","Perfectly cooked ribeye with herb butter — for serious muscle building.","1. Remove steak from fridge 30 min before cooking — room temperature is ESSENTIAL.
2. Season VERY generously with coarse salt and black pepper on all sides.
3. Heat cast iron skillet till SMOKING HOT — this creates the sear.
4. Add 1 tbsp oil, place steak, do not touch for 3-4 min.
5. Flip, add 2 tbsp butter, 4 garlic cloves, fresh rosemary, thyme.
6. Tilt pan, continuously spoon herb butter over steak (basting) for 3 min.
7. For medium: internal temp 63°C. For medium-rare: 57°C.
8. REST on wire rack 5-8 min — this is non-negotiable.
9. Slice against grain, serve with roasted potato wedges.",35,10,1,Hard,Dinner,nonveg,"Weight Gain",recipes/beef_steak.jpg,0,4.8,480,36.00,2.00,34.00,0.00,"dinner,steak,beef,muscle,protein,highcalorie","2026-04-08 02:12:04"
44,79,"Japanese Miso Glazed Salmon","Umami-rich miso-glazed salmon — restaurant quality in 30 minutes.","1. Mix glaze: 3 tbsp white miso, 2 tbsp mirin, 1 tbsp sake, 1 tsp brown sugar.
2. Marinate salmon 30 min (up to 4 hours) in glaze.
3. Preheat oven to 220°C with grill/broil setting.
4. Line tray with aluminium foil.
5. Place salmon skin-side down.
6. Broil 10-12 min till caramelized and slightly charred.
7. Watch carefully — miso burns quickly.
8. While salmon cooks, blanch pak choi and green beans.
9. Plate salmon over greens, sprinkle sesame seeds.",35,12,2,Medium,Dinner,nonveg,"Weight Loss",recipes/steam_salmon.jpg,1,4.8,350,32.00,28.00,13.00,3.00,"dinner,salmon,miso,japanese,omega3,gourmet","2026-04-08 02:12:04"
45,83,"Indulgent PB Banana French Toast","High-calorie satisfying french toast for weight gain goals.","1. Whisk 2 eggs with 3 tbsp whole milk, 1 tsp vanilla, cinnamon.
2. Dip thick (2cm) wheat bread slices in mixture, let soak 30 seconds each side.
3. Melt 1 tbsp butter in pan on medium heat.
4. Cook soaked bread 3-4 min each side till golden.
5. Spread 1.5 tbsp natural peanut butter on each slice.
6. Slice 1 banana, arrange on top.
7. Drizzle pure maple syrup.
8. Add mixed berries on side.
9. Dust with powdered sugar.",5,10,2,Easy,Breakfast,veg,"Weight Gain",recipes/pb_banana_toast.jpg,0,4.6,380,14.00,50.00,14.00,5.00,"breakfast,french,toast,pbandbanana,weightgain","2026-04-08 02:12:04"
46,87,"Spicy Chicken Arrabiata Pasta","Italian-inspired pasta with spiced chicken — calorie-dense muscle meal.","1. Cook 200g penne or rigatoni al dente in salted water.
2. Reserve 1/2 cup pasta water before draining.
3. Season chicken with Italian herbs, salt, pepper.
4. Sear in hot pan 6 min each side, slice when rested.
5. In same pan: saute garlic in olive oil, add chili flakes.
6. Add 1 can crushed tomatoes, simmer 10 min.
7. Season with salt, sugar, fresh basil.
8. Toss pasta in sauce with pasta water for glossy coating.
9. Plate, top with chicken slices and grated parmesan.",10,25,2,Medium,Lunch,nonveg,"Weight Gain",recipes/chicken_pasta.jpg,0,4.6,520,34.00,58.00,16.00,4.00,"lunch,pasta,chicken,italian,weightgain,highcalorie","2026-04-08 02:12:04"
47,28,"Classic Chole Bhature","Crispy fried bread with spiced chickpea curry — a North Indian indulgence.","1. Soak chickpeas overnight, pressure cook till soft.
2. Heat oil, add whole spices: bay leaf, clove, cardamom.
3. Brown onions deeply (12 min), add ginger-garlic.
4. Add tomato puree and all spice powders.
5. Cook till oil separates (8 min).
6. Add chickpeas with 1 cup water, simmer 20 min.
7. For bhature: knead maida with yogurt, oil, salt till smooth.
8. Rest 30 min, roll thick circles.
9. Deep fry in hot oil till puffed and golden.",480,45,4,Hard,Lunch,veg,"Weight Gain",recipes/chole_bhature.jpg,0,4.7,650,16.00,85.00,28.00,8.00,"lunch,chole,bhature,northindian,indulgent","2026-04-08 02:12:04"
48,30,"Aromatic Vegetable Biryani","Fragrant long-grain rice cooked with spiced vegetables and whole spices.","1. Wash and soak basmati rice 30 min.
2. Fry onions in ghee till deep brown (caramelized).
3. Add whole spices: cardamom, cloves, cinnamon, star anise.
4. Add vegetables: carrot, peas, beans, cauliflower.
5. Add yogurt, biryani masala, salt.
6. Layer half-cooked rice over vegetables.
7. Top with fried onions, saffron milk, ghee, mint.
8. Seal pot with dough or foil (dum cooking).
9. Cook on very low heat 25 min. Rest 10 min before opening.",30,45,4,Hard,Lunch,veg,All,recipes/veg_biryani.jpg,0,4.6,450,10.00,76.00,12.00,6.00,"lunch,biryani,rice,vegetable,fragrant,special","2026-04-08 02:12:04"
49,31,"South Indian Sambar Rice","Comforting lentil-vegetable soup mixed with steamed rice.","1. Pressure cook toor dal with turmeric and water.
2. Saute onion, tomato, drumstick in oil.
3. Add sambar powder, tamarind water, salt.
4. Add cooked dal to vegetables.
5. Temper: mustard, cumin, curry leaves, dried chili.
6. Pour tadka over sambar, simmer 10 min.
7. Cook separate white rice.
8. Mix sambar generously with rice.
9. Serve with papad, pickle, and ghee.",10,30,3,Medium,Lunch,veg,"Weight Loss",recipes/sambar_rice.jpg,0,4.3,340,12.00,55.00,8.00,7.00,"lunch,sambar,rice,southindian,comfort,healthy","2026-04-08 02:12:04"
50,32,"Smoky Baingan Bharta","Charred roasted eggplant mashed with spices and fresh vegetables.","1. Char brinjal directly over flame till completely blackened.
2. Cover in foil, rest 10 min — easier to peel.
3. Peel and mash the soft flesh.
4. Heat oil, add cumin seeds.
5. Add onion, cook till golden.
6. Add ginger-garlic, green chili, cook 2 min.
7. Add tomatoes, all spices, cook 5 min.
8. Add mashed brinjal, mix thoroughly.
9. Garnish coriander, serve with rotis.",10,25,3,Medium,Lunch,veg,"Weight Loss",recipes/baingan_bharta.jpg,0,4.4,280,6.00,38.00,12.00,6.00,"lunch,baingan,eggplant,smoky,northindian","2026-04-08 02:12:04"
51,34,"Digestive Moong Dal Soup","Light, warming moong dal soup — easy to digest and calorie-conscious.","1. Wash 3/4 cup split moong dal.
2. Heat ghee, add cumin, asafoetida.
3. Add ginger, green chili, cook 1 min.
4. Add moong dal, stir 2 min.
5. Add 4 cups water, salt, turmeric.
6. Pressure cook 2 whistles.
7. Add lemon juice, fresh coriander.
8. Adjust consistency — can be thin or thick.
9. Serve hot with rice or as a soup.",5,20,3,Easy,Lunch,veg,"Weight Loss",recipes/lentil_soup.jpg,0,4.2,220,13.00,32.00,4.50,9.00,"lunch,soup,moong,digestive,light,healthy","2026-04-08 02:12:04"
52,38,"Asian Cauliflower Fried Rice","Low-carb cauliflower rice stir-fried with vegetables and umami sauce.","1. Pulse cauliflower florets in food processor to rice size.
2. Heat sesame oil in wok on HIGHEST possible heat.
3. Add minced garlic and ginger, stir 1 min.
4. Add vegetables: peas, carrot, corn, edamame.
5. Add cauliflower rice, toss continuously on high 4-5 min.
6. Push everything aside, crack 2 eggs in center.
7. Scramble eggs, then mix with rice.
8. Season: soy sauce, sesame oil, white pepper.
9. Top with green onion, sesame seeds.",10,15,2,Medium,Lunch,veg,"Weight Loss",recipes/cauli_rice.jpg,0,4.1,240,8.00,38.00,7.50,5.00,"lunch,cauliflower,fried,rice,lowcarb,asian","2026-04-08 02:12:04"
53,39,"Nourishing Avocado Brown Rice Bowl","Calorie-dense bowl with healthy fats, complex carbs for steady energy.","1. Cook 1 cup brown rice, cool slightly.
2. Slice 1 ripe avocado into fan shape.
3. Roast cherry tomatoes with olive oil at 180°C for 15 min.
4. Pan-fry 1/2 cup chickpeas with smoked paprika till crispy.
5. Build bowl: warm brown rice.
6. Fan avocado slices, add roasted tomatoes.
7. Add crispy chickpeas, sliced cucumber, corn.
8. Make tahini dressing: tahini, lemon, garlic, water, cumin.
9. Drizzle dressing, top with microgreens and sesame.",10,35,2,Easy,Lunch,veg,"Weight Gain",recipes/avocado_rice.jpg,0,4.5,360,10.00,52.00,14.00,8.00,"lunch,avocado,bowl,rice,healthy,filling","2026-04-08 02:12:04"
54,40,"Green Goddess Chickpea Salad","Vibrant salad with herby avocado dressing and protein-rich chickpeas.","1. Make green dressing: blend avocado, basil, garlic, lemon, olive oil, salt.
2. Thin with water to pourable consistency.
3. Drain and rinse 1 can chickpeas, pat dry.
4. Massage 2 cups kale with 1 tsp olive oil and pinch of salt.
5. Add cucumber, green bell pepper, celery, edamame.
6. Add chickpeas and sliced avocado.
7. Pour green dressing over salad.
8. Toss gently, top with hemp seeds.
9. Serve immediately.",15,0,2,Easy,Lunch,veg,"Weight Loss",recipes/green_salad_chickpeas.jpg,0,4.4,280,11.00,36.00,11.00,9.00,"lunch,salad,green,chickpeas,avocado,vegan","2026-04-08 02:12:04"
55,42,"Creamy Butter Chicken with Naan","Rich, aromatic butter chicken — a global favourite.","1. Marinate chicken 2 hours: yogurt, lemon, spices.
2. Grill or pan-sear till charred on outside.
3. Blend: tomatoes, cashews, onion to smooth sauce.
4. Heat butter, add whole spices.
5. Pour sauce, cook 15 min till rich and thick.
6. Add kashmiri chili, garam masala, kasuri methi.
7. Add cream, stir.
8. Add grilled chicken pieces, simmer 10 min.
9. Serve with butter naan and salad.",130,30,3,Medium,Lunch,nonveg,"Weight Gain",recipes/chicken_curry.jpg,1,4.9,480,32.00,42.00,18.00,3.00,"lunch,butterchicken,naan,rich,indian,nonveg","2026-04-08 02:12:04"
56,44,"Spicy Egg Curry","Boiled eggs in a flavourful tomato-onion gravy — quick protein dinner.","1. Hard boil 4-6 eggs, peel.
2. Score eggs with knife for sauce to penetrate.
3. Shallow fry eggs in oil till golden outside — 3 min.
4. In same pan: saute onion till golden.
5. Add ginger-garlic, cook 2 min.
6. Add tomato puree, all spices — cook 8 min.
7. Add 1 cup water, bring to simmer.
8. Add fried eggs, cook 10 min gently.
9. Garnish coriander, serve with rice or roti.",5,25,3,Medium,Lunch,nonveg,All,recipes/egg_curry.jpg,0,4.4,320,20.00,30.00,12.00,2.00,"lunch,eggs,curry,protein,indian,quick","2026-04-08 02:12:04"
57,45,"Royal Mutton Biryani","Slow-cooked aromatic mutton biryani — a celebratory rice dish.","1. Marinate mutton overnight: yogurt, spices, raw papaya.
2. Deep fry onions (birista) till dark brown.
3. Cook mutton on pressure cooker with whole spices.
4. Par-cook basmati rice till 70% done.
5. Layer in heavy pot: mutton, fried onions, mint, saffron milk.
6. Top with rice layer, more onions and saffron.
7. Seal with dough or foil.
8. Dum cook on very low heat 35 min.
9. Rest 15 min, mix gently from bottom.",480,60,4,Hard,Lunch,nonveg,"Weight Gain",recipes/mutton_biryani.jpg,0,4.8,580,28.00,68.00,18.00,4.00,"lunch,biryani,mutton,special,celebratory","2026-04-08 02:12:04"
58,46,"Coastal Prawn Masala","Juicy prawns in spiced tomato-coconut gravy — coastal India comfort.","1. Clean and devein 300g large prawns.
2. Marinate with turmeric, salt, chili.
3. Heat coconut oil, add mustard, curry leaves.
4. Add onion, cook till golden.
5. Add ginger-garlic, tomatoes, all spices.
6. Cook till oil separates (8 min).
7. Add 1/2 cup coconut milk.
8. Add prawns, cook 8-10 min — don't overcook.
9. Garnish coriander, serve with rice.",20,20,3,Medium,Lunch,nonveg,All,recipes/prawn_masala.jpg,0,4.6,400,26.00,38.00,14.00,3.00,"lunch,prawn,seafood,coastal,coconut,indian","2026-04-08 02:12:04"
59,48,"Turkey Avocado Club Sandwich","Stacked protein sandwich with lean turkey, creamy avocado, and veggies.","1. Toast 3 slices whole grain bread.
2. Mash 1/2 avocado with lemon, salt.
3. Spread avocado on bottom slice.
4. Layer: turkey breast slices, romaine.
5. Add second bread, spread mustard.
6. Add tomato, cucumber, red onion.
7. Top third slice.
8. Cut diagonally, secure with toothpick.
9. Serve with side salad.",10,5,1,Easy,Lunch,nonveg,"Weight Loss",recipes/turkey_sandwich.jpg,0,4.4,340,24.00,32.00,12.00,4.00,"lunch,turkey,sandwich,club,protein,quick","2026-04-08 02:12:04"
60,51,"Garlic Butter Shrimp Stir Fry","Quick high-protein shrimp stir fry with garlic butter sauce.","1. Peel and devein shrimp, pat completely dry.
2. Season with salt, pepper, paprika.
3. Heat large pan till very hot, add butter and oil.
4. Add shrimp in single layer, cook 2 min each side.
5. Remove shrimp.
6. In same pan: add minced garlic, cook 1 min.
7. Add white wine or stock, reduce.
8. Add red chili flakes, lemon juice.
9. Toss shrimp in sauce with fresh parsley.",10,10,2,Easy,Lunch,nonveg,"Weight Loss",recipes/shrimp_stir_fry.jpg,0,4.5,280,24.00,22.00,10.00,3.00,"lunch,shrimp,garlic,stir,fry,quick,protein","2026-04-08 02:12:04"
61,52,"Hoisin Asian Turkey Lettuce Wraps","Light crunchy wraps with spiced turkey — a MyFitnessPal crowd favourite.","1. Brown 300g ground turkey in pan with 1 tsp oil.
2. Add minced garlic, grated ginger — cook 2 min.
3. Add: 3 tbsp soy sauce, 2 tbsp hoisin, 1 tsp sesame oil, rice vinegar.
4. Cook till sauce coats turkey (3 min).
5. Add finely diced water chestnuts, green onion.
6. Separate iceberg lettuce into cup shapes.
7. Spoon turkey into each leaf.
8. Drizzle with sriracha.
9. Serve with extra sauce and lime.",10,15,3,Easy,Lunch,nonveg,"Weight Loss",recipes/turkey_lettuce.jpg,0,4.5,220,26.00,14.00,6.00,2.00,"lunch,turkey,lettuce,wraps,asian,lowcarb","2026-04-08 02:12:04"
62,54,"Deconstructed Greek Chicken Bowl","Mediterranean bowl with grilled chicken, feta, olives and tzatziki.","1. Marinate chicken: olive oil, lemon, garlic, oregano, salt.
2. Grill 7 min each side till cooked through.
3. Make tzatziki: Greek yogurt, grated cucumber, garlic, dill, lemon.
4. Cook 1 cup bulgur wheat or quinoa.
5. Build bowl: grain base, sliced chicken.
6. Add cucumber, cherry tomatoes, kalamata olives.
7. Crumble feta cheese on top.
8. Dollop tzatziki generously.
9. Drizzle olive oil, sprinkle oregano.",20,15,2,Medium,Lunch,nonveg,"Muscle Gain",recipes/greek_chicken_bowl.jpg,0,4.6,420,38.00,30.00,16.00,5.00,"lunch,greek,chicken,bowl,mediterranean","2026-04-08 02:12:04"
63,55,"Japanese Miso Salmon Rice Bowl","Nutritious bowl inspired by Japanese teishoku dining.","1. Follow miso glaze recipe for salmon.
2. Cook 1 cup Japanese short-grain rice.
3. Season rice: 1 tsp rice vinegar, 1 tsp sugar, pinch of salt.
4. Prepare toppings: sliced avocado, edamame, cucumber.
5. Make quick pickled carrots: carrot, rice vinegar, sugar, salt, 20 min.
6. Plate warm rice in bowl.
7. Add glazed salmon piece.
8. Arrange toppings beautifully by color.
9. Drizzle ponzu or soy sauce, sesame seeds.",35,20,2,Medium,Lunch,nonveg,"Weight Loss",recipes/steam_salmon.jpg,0,4.7,360,32.00,28.00,13.00,3.00,"lunch,salmon,miso,rice,bowl,japanese","2026-04-08 02:12:04"
64,57,"Paneer Tikka Salad Bowl","Grilled paneer tikka over fresh salad with mint dressing.","1. Cube 200g paneer, marinate 1 hour: yogurt, tikka masala, lemon.
2. Skewer paneer with bell peppers and onion.
3. Grill on hot grill 10 min, turning every 2-3 min.
4. Make mint dressing: yogurt, mint, lemon, garlic, salt.
5. Toss mixed greens with light dressing.
6. Add cucumber, cherry tomato, red onion rings.
7. Place hot paneer tikka skewers on salad.
8. Drizzle extra mint dressing.
9. Sprinkle chaat masala and chat with lemon.",70,15,2,Medium,Dinner,veg,"Muscle Gain",recipes/paneer_tikka_salad.jpg,0,4.5,280,18.00,16.00,16.00,4.00,"dinner,paneer,tikka,salad,protein,grilled","2026-04-08 02:12:04"
65,58,"Clear Vegetable Detox Soup","Light, soothing clear soup with vegetables and healing spices.","1. Heat 1 tsp olive oil in pot.
2. Add ginger, garlic, cook 1 min.
3. Add vegetables: carrot, celery, zucchini, spinach.
4. Stir 2 min.
5. Add 4 cups vegetable stock.
6. Season: soy sauce, black pepper, salt, lemon.
7. Bring to boil, reduce heat.
8. Simmer 10 min.
9. Serve hot with fresh herbs garnish.",5,15,3,Easy,Dinner,veg,"Weight Loss",recipes/veg_clear_soup.jpg,0,4.1,120,5.00,20.00,2.00,4.00,"dinner,soup,detox,clear,light,vegetables","2026-04-08 02:12:04"
66,59,"Hearty Lauki Moong Dal","Bottle gourd cooked with moong dal — light, digestive Indian comfort dinner.","1. Peel and cube 1 medium lauki (bottle gourd).
2. Pressure cook moong dal till soft.
3. Heat ghee, add cumin, asafoetida.
4. Add onion, cook 4 min.
5. Add tomato, ginger, turmeric, chili.
6. Add lauki, stir 5 min.
7. Add cooked moong dal and water.
8. Simmer 15 min together till all tender.
9. Season with salt, garnish coriander.",10,25,3,Easy,Dinner,veg,"Weight Loss",recipes/lauki_dal.jpg,0,4.2,180,8.00,28.00,4.00,6.00,"dinner,lauki,moong,dal,digestive,light,indian","2026-04-08 02:12:04"
67,61,"Ajwain Methi Paratha with Raita","Flaky whole wheat flatbread with fenugreek and ajwain — nutritious dinner.","1. Mix 2 cups whole wheat flour, 1 cup methi leaves.
2. Add ajwain, chili powder, salt, oil.
3. Knead with water to smooth dough.
4. Rest 20 min.
5. Roll into thin circles, fold in thirds twice.
6. Roll again to create layers.
7. Cook on hot tawa with ghee till brown spots appear.
8. For raita: yogurt, cucumber, cumin, salt, coriander.
9. Serve hot parathas with cool raita.",25,25,3,Medium,Dinner,veg,All,recipes/methi_paratha.jpg,0,4.3,180,7.00,28.00,5.00,5.00,"dinner,methi,paratha,ajwain,indian,flatbread","2026-04-08 02:12:04"
68,63,"Spicy Grilled Paneer Kebabs","Juicy paneer cubes marinated in spices and grilled to smoky perfection.","1. Cube 250g paneer into 3cm pieces.
2. Make marinade: hung curd, ginger-garlic, tandoori masala, oil, lemon.
3. Marinate paneer minimum 2 hours.
4. Skewer with bell peppers and onion chunks.
5. Brush grill with oil, heat to high.
6. Grill kebabs 12-15 min, turning every 3 min.
7. Should have good char marks.
8. Serve on bed of onion rings.
9. Squeeze lemon, sprinkle chaat masala.",130,15,3,Medium,Dinner,veg,"Muscle Gain",recipes/grilled_paneer.jpg,0,4.5,240,16.00,12.00,14.00,3.00,"dinner,paneer,kebab,grilled,protein,indian","2026-04-08 02:12:04"
69,65,"Crispy Garlic Roasted Broccoli","Simple, nutritious side dish — roasted broccoli is a superfood upgrade.","1. Cut broccoli into even medium florets.
2. Toss with olive oil, minced garlic, salt, black pepper.
3. Spread in single layer on baking sheet — do not crowd.
4. Roast at 220°C for 20 min.
5. Should have crispy, slightly charred tips.
6. Remove from oven.
7. Squeeze fresh lemon juice.
8. Add parmesan shavings if desired.
9. Serve as side dish with main protein.",5,20,3,Easy,Dinner,veg,"Weight Loss",recipes/steamed_broccoli.jpg,0,4.2,120,4.00,18.00,4.00,4.00,"dinner,broccoli,roasted,garlic,superfood,side","2026-04-08 02:12:04"
70,66,"Lemongrass Thai Vegetable Soup","Fragrant coconut-lemongrass soup with vegetables and tofu.","1. Saute garlic, ginger, lemongrass in coconut oil.
2. Add 1-2 tsp Thai green curry paste, cook 2 min.
3. Pour 1 can coconut milk and 2 cups vegetable stock.
4. Add vegetables: mushroom, baby corn, bok choy.
5. Season: fish sauce (or soy), lime juice, palm sugar.
6. Add cubed firm tofu for protein.
7. Simmer 15 min.
8. Taste and adjust — should be creamy, tangy, spicy.
9. Garnish fresh basil, sliced chili, lime wedge.",10,20,3,Easy,Dinner,veg,All,recipes/mixed_veg_soup.jpg,0,4.3,160,6.00,22.00,6.00,5.00,"dinner,thai,soup,lemongrass,coconut,light","2026-04-08 02:12:04"
71,67,"Healing Moong Dal Soup","Gentle, detoxifying moong dal soup — best dinner for clean eating days.","1. Rinse 1 cup split yellow moong till water runs clear.
2. Boil 4 cups water.
3. Add moong, cook uncovered 20 min till completely soft.
4. Skim any foam that rises.
5. Heat ghee, add cumin, turmeric, asafoetida.
6. Add chopped ginger, green chili.
7. Pour tadka over dal.
8. Add lemon juice, salt.
9. Thin with warm water if needed. Serve piping hot.",5,25,3,Easy,Dinner,veg,"Weight Loss",recipes/moong_soup.jpg,0,4.2,140,8.00,20.00,4.00,6.00,"dinner,moong,soup,detox,healing,light,indian","2026-04-08 02:12:04"
72,68,"Garlic Herb Asparagus","Elegant, nutrition-dense asparagus roasted with garlic — a superfood side.","1. Trim woody ends of asparagus by snapping naturally.
2. Toss in olive oil, minced garlic, salt, pepper, thyme.
3. Spread in tight single layer on baking sheet.
4. Roast at 220°C for 12-15 min.
5. Toss halfway through.
6. Tips should be slightly crispy, stalks tender.
7. Remove from oven, immediately squeeze lemon.
8. Add parmesan shavings.
9. Serve immediately.",3,15,2,Easy,Dinner,veg,"Weight Loss",recipes/grilled_asparagus.jpg,0,4.4,80,3.50,12.00,2.50,3.50,"dinner,asparagus,roasted,light,superfood,side","2026-04-08 02:12:04"
73,69,"Comforting Sweet Potato Mash","Naturally sweet, fiber-rich mash with warming spices.","1. Peel and cube 3 large sweet potatoes.
2. Boil in salted water till fork-tender (20 min).
3. Drain completely, mash while still hot.
4. Add 2 tbsp butter and 1/4 cup warm milk.
5. Beat with wooden spoon till smooth.
6. Add salt, cinnamon, nutmeg, pinch of ginger.
7. Taste and adjust sweetness.
8. Transfer to serving bowl.
9. Top with toasted pecans and fresh thyme.",5,25,4,Easy,Dinner,veg,"Weight Gain",recipes/sweet_potato.jpg,0,4.3,260,5.00,48.00,6.00,7.00,"dinner,sweetpotato,mash,comfort,fiber,weightgain","2026-04-08 02:12:04"
74,70,"Soft Fluffy Whole Wheat Rotis","Healthy whole grain rotis — backbone of any Indian meal.","1. Sift 2 cups whole wheat atta into bowl.
2. Add 1 tsp oil, pinch of salt.
3. Add warm water gradually, knead 8-10 min till soft elastic dough.
4. Cover with damp cloth, rest 20-30 min.
5. Divide into 8-10 equal balls.
6. On floured board, roll each into thin 15cm circle.
7. Heat tawa till very hot.
8. Cook each roti 1 min, flip, press edges with cloth.
9. Apply ghee immediately, serve hot.",25,20,6,Medium,Dinner,veg,All,recipes/whole_wheat_roti.jpg,0,4.4,210,5.00,42.00,3.00,4.00,"dinner,roti,wheat,indian,staple,healthy","2026-04-08 02:12:04"
75,72,"Comforting Spiced Chicken Soup","Rich, healing chicken soup with vegetables and whole spices.","1. Boil whole chicken pieces with onion, ginger, garlic, celery.
2. Skim foam, simmer 45 min.
3. Remove chicken, shred meat.
4. Strain broth, return to pot.
5. Add vegetables: carrot, celery, peas.
6. Season: black pepper, coriander, cumin, salt.
7. Add shredded chicken back.
8. Simmer 15 min more.
9. Garnish coriander, serve with crusty bread.",15,60,4,Medium,Dinner,nonveg,"Weight Loss",recipes/chicken_soup.jpg,0,4.5,180,16.00,8.00,9.00,1.00,"dinner,chicken,soup,healing,comfort,light","2026-04-08 02:12:04"
76,74,"Spicy Egg Bhurji","Indian-spiced scrambled eggs — a quick high-protein dinner.","1. Heat oil in pan, add cumin seeds.
2. Add finely chopped onion, cook 4 min.
3. Add ginger-garlic paste, green chili.
4. Add tomato, cook 4 min till soft.
5. Add turmeric, chili powder, coriander powder, garam masala.
6. Break 4-5 eggs directly into pan.
7. Stir continuously on medium heat, cooking eggs.
8. Add salt, mix well.
9. Garnish coriander, serve with toast or rotis.",5,10,2,Easy,Dinner,nonveg,All,recipes/egg_bhurji.jpg,0,4.4,220,16.00,8.00,14.00,1.50,"dinner,eggs,bhurji,indian,quick,protein,scrambled","2026-04-08 02:12:04"
77,75,"Lemon Garlic Shrimp","Restaurant-style garlicky shrimp ready in under 15 minutes.","1. Devein 300g large shrimp, keep tails on.
2. Season with salt, pepper, smoked paprika.
3. Heat pan till very hot, add butter and olive oil.
4. Add shrimp in single layer — do not overcrowd.
5. Cook exactly 2 min per side.
6. Remove shrimp, add 6 cloves minced garlic to pan.
7. Saute 1 min, add white wine, reduce.
8. Add shrimp back, lemon juice, parsley.
9. Serve over pasta, rice, or zucchini noodles.",10,12,2,Easy,Dinner,nonveg,"Weight Loss",recipes/shrimp_stir_fry.jpg,0,4.5,200,18.00,6.00,12.00,1.00,"dinner,shrimp,garlic,lemon,quick,protein","2026-04-08 02:12:04"
78,77,"Baked Italian Egg White Frittata","Italian baked egg white dish — low-calorie, high-protein, elegant.","1. Preheat oven to 180°C.
2. Whisk 8 egg whites with salt, pepper, Italian herbs.
3. Saute: spinach, mushroom, sun-dried tomatoes, bell pepper in olive oil.
4. Pour egg whites over vegetables in oven-safe pan.
5. Sprinkle feta or goat cheese crumbles.
6. Cook on stovetop 3 min — edges should just set.
7. Transfer to oven, bake 15-18 min till center is firm.
8. Cool 5 min before slicing.
9. Slice like pizza, serve warm or at room temperature.",5,25,4,Medium,Dinner,nonveg,"Weight Loss",recipes/egg_white_frittata.jpg,0,4.3,160,18.00,6.00,7.00,2.00,"dinner,frittata,egg,white,italian,baked,protein","2026-04-08 02:12:04"
79,78,"Protein Overnight Oats","Make-ahead breakfast loaded with protein from whey and Greek yogurt.","1. In a jar: add 1/2 cup rolled oats.
2. Add 1 scoop vanilla whey protein, mix with oats.
3. Add 3 tbsp Greek yogurt.
4. Pour 3/4 cup milk (or almond milk).
5. Add 1 tsp chia seeds, pinch of cinnamon.
6. Stir everything together.
7. Top with fresh berries.
8. Cover and refrigerate overnight (minimum 6 hours).
9. Add toppings and eat cold.",5,0,1,Easy,Breakfast,nonveg,"Muscle Gain",recipes/protein_oats.jpg,0,4.5,320,18.00,46.00,8.00,5.00,"breakfast,overnight,oats,protein,whey,mealprep","2026-04-08 02:12:04"
80,80,"Slow-Cooked Garlic Herb Chicken Thighs","Juicy chicken thighs braised with garlic, herbs, and white wine.","1. Season chicken thighs with salt, pepper, smoked paprika.
2. Sear skin-side down in oven-safe pan 8 min till golden.
3. Flip, sear 3 min.
4. Remove chicken, saute 8 garlic cloves in same fat.
5. Add fresh thyme, rosemary, white wine or stock.
6. Scrape up brown bits — this is flavour.
7. Add chicken back, skin-side up.
8. Bake uncovered at 180°C for 35 min.
9. Baste with pan juices, serve with roasted vegetables.",10,50,3,Medium,Dinner,nonveg,"Muscle Gain",recipes/baked_chicken.jpg,0,4.7,360,30.00,16.00,18.00,3.00,"dinner,chicken,thighs,garlic,herb,slowcooked","2026-04-08 02:12:04"
81,81,"Make-Ahead Protein Overnight Oats","Batch-prep protein oats for 5 weekday breakfasts.","1. Prepare 5 jars for the week.
2. Mix: 1/2 cup oats, 1 scoop protein powder.
3. Add 3 tbsp Greek yogurt per jar.
4. Pour almond milk, stir.
5. Add different toppings: berries, banana, mango.
6. Seal, refrigerate up to 5 days.
7. Grab and go each morning.",20,0,5,Easy,Breakfast,veg,"Muscle Gain",recipes/protein_oats.jpg,0,4.4,300,12.00,46.00,7.00,5.00,"breakfast,mealprep,protein,oats,overnight,batch","2026-04-08 02:12:04"
82,85,"Dark Chocolate Nut Bark","Antioxidant-rich dark chocolate with mixed nuts — healthy indulgence.","1. Melt 100g 70%+ dark chocolate in double boiler or microwave.
2. Pour onto parchment-lined tray.
3. Spread thin with offset spatula.
4. Immediately top: chopped almonds, walnuts, pumpkin seeds.
5. Add dried cranberries or blueberries.
6. Sprinkle flaky sea salt.
7. Refrigerate 30-45 min till completely set.
8. Break into irregular rustic pieces.
9. Store airtight in fridge up to 2 weeks.",5,5,4,Easy,Snack,veg,All,recipes/dark_chocolate.jpg,0,4.7,170,3.00,24.00,9.00,3.00,"snack,chocolate,dark,antioxidant,nuts,indulgent","2026-04-08 02:12:04"
